"LOCATIONNUMBER","OLDLOCATIONID","LOCATIONID","NAME","PHONE","EMAIL","ADDRESS1","ADDRESS2","CITY","STATE","POSTALCODE","COUNTRY","BUSINESSENTITYCODE","LOCATIONSTATUSNAME","LOCATIONSTATUSCODE","WEBSITEURL","LOCATIONDESCRIPTION","LOCATIONNAMEIDENTIFIER","ISCORPORATE","MAP"
"1779","","6872","Mandurah","","mandurah@snapfitness.com.au","64 Pinjarra Road","","Mandurah","WA","","AUS","snapfitness","Open","open","www.snapfitness.com/mandurah-opening-soon","","Mandurah - 1779","0",""
"178","","15","Atlanta - Glenwood Park","404--62-7-80","atlanta1@snapfitness.com","920 Glenwood Ave. Suite 102/103","","Atlanta","GA","30316","USA","snapfitness","Open","open","www.snapfitness.com/atlanta1","","Atlanta-Glenwood Park - 178","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_178.pdf"
"1780","","6949","Maple Plain","763--20-0-92","mapleplain@snapfitness.com","1400 Baker Park Rd.","","Maple Plain","MN","55359","USA","snapfitness","Open","open","","","Maple Plain - 1780","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1780.pdf"
"1781","","6859","Kingsville","(36-1)5-95-3","kingsville@snapfitness.com","1010 South 14th Street","","Kingsville","TX","78363","USA","snapfitness","Open","open","www.snapfitness.com/kingsville","","Kingsville - 1781","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1781.pdf"
"1783","","5517","Milton","304-592-4011","miltonwv@snapfitness.com","305 East Main Street","","Milton","WV","25541","USA","snapfitness","Open","open","www.snapfitness.com/miltonwv","","Milton - 1783","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1783.pdf"
"1785","","6853","Brooksville - Spring Hill","352--60-0-30","brooksville@snapfitness.com","6264 Commercial Way","Weeki Wachee Village Shopping Center","Brooksville","FL","34613","USA","snapfitness","Buildout","buildout","www.snapfitness.com/Brooksville","","Brooksville-Spring Hill - 1785","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1785.pdf"
"1786","","6889","Canning Vale","","canningvale@snapfitness.com.au","499 Nicholson Road","","Canning Vale","WA","6155","AUS","snapfitness","Open","open","www.snapfitness.com/canning-vale-coming-soon","","Canning Vale - 1786","0",""
"179","","1122","West Union","503-645-7900","westunion@snapfitness.com","18335 NW West Union Road","","Portland","OR","97229","USA","snapfitness","Open","open","www.snapfitness.com/westunion","","West Union - 179","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_179.pdf"
"1790","","6739","Lee","413--24-3-80","lee@snapfitness.com","14 Pleasant Street","","Lee","MA","01238","USA","snapfitness","Open","open","","","Lee - 1790","0",""
"1791","","6098","Chardon","440--28-6-10","chardon@snapfitness.com","520 Fifth Ave.","Suite 5","Chardon","OH","44024","USA","snapfitness","Open","open","","","Chardon - 1791","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1791.pdf"
"1793","","7044","Savannah","","savannah@snapfitness.com","203 S. 71 Hwy.","","Savannah","MO","64485","USA","snapfitness","Open","open","","","Savannah - 1793","0",""
"1795","","7018","Sidney","937--41-9-06","sidney@snapfitness.com","1524 Michigan Street","","Sidney","OH","45365","USA","snapfitness","Open","open","","","Sidney - 1795","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1795.pdf"
"1796","","6985","Splendora","281--68-9-95","splendora@snapfitness.com","13841 US Hwy. 59","Suite B","Splendora","TX","77372","USA","snapfitness","Open","open","www.snapfitness.com/splendora","","Splendora - 1796","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1796.pdf"
"18","","12","Apple Valley","952--32-2-45","applevalley@snapfitness.com","14050 Pilot Knob Rd. Unit 106","","Apple Valley","MN","55124","USA","snapfitness","Open","open","www.snapfitness.com/applevalley","","Apple Valley - 18","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_18.pdf"
"180","","146","Morris","320-585-6200","morris@snapfitness.com","719 Atlantic Ave.","","Morris","MN","56267","USA","snapfitness","Open","open","www.snapfitness.com/morris","","Morris - 180","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_180.pdf"
"1800","","7069","Columbus-Clintonville","614--94-7-74","clintonville@snapfitness.com","3130 North High Street","","Columbus","OH","43202","USA","snapfitness","Open","open","www.snapfitness.com/columbus","","Columbus-Clintonville - 1800","0",""
"1803","","6928","Butner","919--28-3-01","butner@snapfitness.com","1599 NC Hwy. 56 West","","Butner","NC","27522","USA","snapfitness","Open","open","www.snapfitness.com/creedmore","","Butner - 1803","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1803.pdf"
"1806","","7085","Eagle Pass","830--77-6-51","eaglepass@snapfitness.com","1975 N. Veterans Blvd. Suite 2B","","Eagle Pass","TX","78852","USA","snapfitness","Open","open","www.snapfitness.com/eaglepass","","Eagle Pass - 1806","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1806.pdf"
"1807","","6970","Morgantown","610--28-6-36","morgantown@snapfitness.com","600 Crossings Blvd.","","Elverson","PA","19520","USA","snapfitness","Open","open","www.snapfitness.com/Morgantown","","Morgantown - 1807","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1807.pdf"
"181","","60","Duluth","218-525-8363","duluth@snapfitness.com","4425 E. Superior St.","","Duluth","MN","55804","USA","snapfitness","Open","open","www.snapfitness.com/duluth","","Duluth - 181","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_181.pdf"
"1813","","6984","Holly Springs","919--37-2-30","hollysprings@snapfitness.com","1102 Kentworth Drive","","Holly Springs","NC","27540","USA","snapfitness","Open","open","","","Holly Springs - 1813","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1813.pdf"
"1814","","6950","Freeport","979--20-2-10","freeport@snapfitness.com","303 A South Brazosport Blvd.","","Freeport","TX","77541","USA","snapfitness","Open","open","www.snapfitness.com/Freeport","","Freeport - 1814","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1814.pdf"
"1817","","7078","El Paso Far East","915-503-2915","elpasofareast@snapfitness.com","12371 Edgemere Blvd.","Suites 202-205","El Paso","TX","79938","USA","snapfitness","Open","open","","","El Paso Far East - 1817","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1817.pdf"
"1818","","6997","Luling","830--35-1-50","lulingtx@snapfitness.com","417 Davis Street","","Luling","TX","78648","USA","snapfitness","Open","open","www.snapfitness.com/lulingtx","","Luling - 1818","0",""
"1819","","7047","Medina","585-735-4201","medinany@snapfitness.com","11184 Maple Ridge Road","","Medina","NY","14103","USA","snapfitness","Open","open","","","Medina - 1819","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1819.pdf"
"182","","33","Osseo","763-315-4689","osseo@snapfitness.com","8507 Jefferson Lane North","","Brooklyn Park","MN","55445","USA","snapfitness","Open","open","www.snapfitness.com/osseo","","Osseo - 182","0",""
"1821","","7131","Calexico","760--61-8-32","calexico@snapfitness.com","438 Grant Street","","Calexico","CA","92231","USA","snapfitness","Open","open","www.snapfitness.com/Calexico","","Calexico - 1821","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1821.pdf"
"1822","","7088","Cape Girardeau","573-335-7627","capegirardeau@snapfitness.com","2530 William Street","","Cape Girardeau","MO","63703","USA","snapfitness","Open","open","www.snapfitness.com/Cape Girardeau","","Cape Girardeau - 1822","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1822.pdf"
"1823","","6992","Elmira","607-795-8478","elmira@snapfitness.com","1801 West Water Street","","Elmira","NY","14905","USA","snapfitness","Open","open","www.snapfitness.com/Elmira","","Elmira - 1823","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1823.pdf"
"1836","","6856","Redcliffe","","redcliffewa@snapfitness.com.au","347-351 Great Eastern Highway","","Redcliffe","WA","","AUS","snapfitness","Buildout","buildout","","","Redcliffe - 1836","0",""
"1838","","7132","Boulder City","702--40-3-16","bouldercity@snapfitness.com","1030 Nevada Hwy.","","Boulder City","NV","89005","USA","snapfitness","Open","open","www.snapfitness.com/Bouldercity","","Boulder City - 1838","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1838.pdf"
"1839","","6878","Pecan Grove","832-862-3199","pecangrove@snapfitness.com","2035 FM-359  Suite C","","Richmond","TX","77406","USA","snapfitness","Open","open","www.snapfitness.com/pecangrove","","Pecan Grove - 1839","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1839.pdf"
"184","","109","La Crosse-Village","608--78-8-58","lacrosse@snapfitness.com","2432 State Road","","La Crosse","WI","54601","USA","snapfitness","Open","open","www.snapfitness.com/lacrosse","","La Crosse-Village - 184","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_184.pdf"
"1841","","7160","Portsmouth","757--95-1-28","portsmouth@snapfitness.com","5555 Portsmouth Blvd","","Portsmouth","VA","23701-1832","USA","snapfitness","Buildout","buildout","www.snapfitness.com/portsmouth","","Portsmouth - 1841","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1841.pdf"
"1843","","7177","Mirrabooka","","mirrabooka@snapfitness.com.au","2/40 Mirrabooka Avenue","","Mirrabooka","WA","6061","AUS","snapfitness","Open","open","","","Mirrabooka - 1843","0",""
"1848","","7089","Summerlin","702-475-7630","summerlin@snapfitness.com","10180 West Tropicana Ave.  Suite 136","","Las Vegas","NV","89118","USA","snapfitness","Buildout","buildout","www.snapfitness.com/Las Vegas","","Summerlin - 1848","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1848.pdf"
"185","","217","Victoria","952-368-3004","victoria@snapfitness.com","1772 Steiger Lake Ln","","Victoria","MN","55386","USA","snapfitness","Open","open","www.snapfitness.com/victoria","","Victoria - 185","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_185.pdf"
"187","","136","Metairie","504-883-0309","metairie3@snapfitness.com","4540 West Napoleon Ave.","","Metairie","LA","70001","USA","snapfitness","Open","open","www.snapfitness.com/metairie3","","Metairie - 187","0",""
"189","","177","Redmond","425--60-5-22","redmond@snapfitness.com","11435 Avondale Rd NE","","Redmond","WA","98052","USA","snapfitness","Open","open","www.snapfitness.com/redmond","","Redmond - 189","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_189.pdf"
"19","","153","North Branch","651-674-4153","northbranch@snapfitness.com","6118 Main Street","","North Branch","MN","55056","USA","snapfitness","Open","open","www.snapfitness.com/northbranch","","North Branch - 19","0",""
"190","","118","Lincoln","402--47-6-76","lincoln3@snapfitness.com","4910 Old Cheney Road, Suite #1","","Lincoln","NE","68516","USA","snapfitness","Open","open","www.snapfitness.com/lincoln3","","Lincoln - 190","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_190.pdf"
"191","","231","Winona","507--45-4-75","winona@snapfitness.com","1213 Gilmore Ave.","","Winona","MN","55987","USA","snapfitness","Open","open","www.snapfitness.com/winona","","Winona - 191","0",""
"192","","87","Grandville","616--53-4-76","grandville@snapfitness.com","4830 Wilson Ave. Suite 610","","Grandville","MI","49418","USA","snapfitness","Open","open","www.snapfitness.com/grandville","","Grandville - 192","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_192.pdf"
"193","","79","Fort Collins","970--47-2-17","fortcollins@snapfitness.com","1015 South Taft Hill Rd.","Unit V","Fort Collins","CO","80521","USA","snapfitness","Open","open","www.snapfitness.com/fortcollins","","Fort Collins - 193","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_193.pdf"
"194","","77","Fond du Lac (West)","920--92-2-76","fonddulac@snapfitness.com","512 N. Rolling Meadows Dr.","","Fond du Lac","WI","54937","USA","snapfitness","Open","open","www.snapfitness.com/fonddulac","","Fond du Lac (West) - 194","0",""
"195","","93","Hattiesburg","601-268-3958","hattiesburg@snapfitness.com","3906 Hardy St.","","Hattiesburg","MS","39402","USA","snapfitness","Open","open","www.snapfitness.com/hattiesburg","","Hattiesburg - 195","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_195.pdf"
"196","","64","Eaton","970--45-4-37","eaton@snapfitness.com","201 South Elm","","Eaton","CO","80615","USA","snapfitness","Open","open","www.snapfitness.com/eaton","","Eaton - 196","0",""
"197","","173","Prescott","715-262-5003","prescottwi@snapfitness.com","1435 North Acres Rd.","Suite 600","Prescott","WI","54021","USA","snapfitness","Open","open","www.snapfitness.com/prescott","","Prescott - 197","0",""
"198","","13","Arlington","507-964-5664","arlington@snapfitness.com","428 West Main St.","","Arlington","MN","55307","USA","snapfitness","Open","open","www.snapfitness.com/arlington","","Arlington - 198","0",""
"2","","218","Waconia","952-442-3815","waconia@snapfitness.com","1309 Oak Ave.","","Waconia","MN","55387","USA","snapfitness","Open","open","www.snapfitness.com/waconia","","Waconia - 2","0",""
"20","","171","Plymouth","763-231-0125","plymouth@snapfitness.com","1400 County Road 101 N","Suite H","Plymouth","MN","55447","USA","snapfitness","Open","open","www.snapfitness.com/plymouth","","Plymouth - 20","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_20.pdf"
"200","","130","McHenry","815--36-3-18","mchenry@snapfitness.com","380 Bank Dr.","","McHenry","IL","60050","USA","snapfitness","Open","open","www.snapfitness.com/mchenry","","McHenry - 200","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_200.pdf"
"201","","201","Springville","205-467-0303","springville@snapfitness.com","300 Springville Station","Suite 100","Springville","AL","35146","USA","snapfitness","Open","open","www.snapfitness.com/springville","","Springville - 201","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_201.pdf"
"205","","138","Milltown","651--24-6-03","milltown@snapfitness.com","104 2nd Ave NW","","Milltown","WI","54858","USA","snapfitness","Open","open","www.snapfitness.com/milltown","","Milltown - 205","0",""
"206","","180","Minneapolis","612-869-0085","minneapolis4@snapfitness.com","5409 Penn Ave.","","Minneapolis","MN","55419","USA","snapfitness","Open","open","www.snapfitness.com/minneapolis4","","Minneapolis - 206","0",""
"207","","140","Minnetonka","952--74-6-76","minnetonka2@snapfitness.com","14525 Highway 7","","Minnetonka","MN","55345","USA","snapfitness","Open","open","www.snapfitness.com/minnetonka2","","Minnetonka - 207","0",""
"21","","56","Delano","763-972-9000","delano@snapfitness.com","327 13th Street South","Suite 130","Delano","MN","55328","USA","snapfitness","Open","open","www.snapfitness.com/delano","","Delano - 21","0",""
"210","","50","Conneaut","440--59-9-99","conneaut@snapfitness.com","230 State St.","","Conneaut","OH","44030","USA","snapfitness","Open","open","www.snapfitness.com/conneaut","","Conneaut - 210","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_210.pdf"
"212","","91","Hartland","262--36-7-18","hartland@snapfitness.com","365 Cottonwood","","Hartland","WI","53029","USA","snapfitness","Open","open","www.snapfitness.com/hartland","","Hartland - 212","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_212.pdf"
"213","","134","Mesa","480--75-5-76","mesa@snapfitness.com","2025 S Alma School Road","","Mesa","AZ","85210","USA","snapfitness","Open","open","www.snapfitness.com/mesa","","Mesa - 213","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_213.pdf"
"214","","1163","McComb","601--68-4-19","mccombms@snapfitness.com","1056A Highway 98-51","","McComb","MS","39648","USA","snapfitness","Open","open","www.snapfitness.com/mccombms","","McComb - 214","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_214.pdf"
"215","","209","Tampa","813--81-4-19","tampa@snapfitness.com","12611 Race Track Rd","","Tampa","FL","33626","USA","snapfitness","Open","open","www.snapfitness.com/tampa","","Tampa - 215","0",""
"217","","343","New Ulm","507-359-8888","newulm@snapfitness.com","1704 Westridge Road","","New Ulm","MN","56073","USA","snapfitness","Open","open","www.snapfitness.com/newulm","","New Ulm - 217","0",""
"218","","230","White Bear Lake","651-770-3777","whitebearlake2@snapfitness.com","2676 County Road E","Century Hills Shopping Center","White Bear Lake","MN","55110","USA","snapfitness","Open","open","www.snapfitness.com/whitebearlake2","","White Bear Lake - 218","0",""
"219","","202","St. Cloud","320-252-2975","stcloud@snapfitness.com","1026 4th Street SE","Suite 202","St. Cloud","MN","56304","USA","snapfitness","Open","open","www.snapfitness.com/stcloud","","St. Cloud - 219","0",""
"22","","11","Anoka","763-433-9083","anoka@snapfitness.com","3841 St. Francis Blvd.","","Anoka","MN","55303","USA","snapfitness","Open","open","www.snapfitness.com/anoka","","Anoka - 22","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_22.pdf"
"220","","124","Loretto","763--47-9-44","loretto@snapfitness.com","145 Railway St. W.","","Loretto","MN","55357","USA","snapfitness","Open","open","www.snapfitness.com/loretto","","Loretto - 220","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_220.pdf"
"221","","40","Charlotte","704-542-0009","charlotte@snapfitness.com","11914 Elm Lane","","Charlotte","NC","28277","USA","snapfitness","Open","open","www.snapfitness.com/charlotte","","Charlotte - 221","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_221.pdf"
"222","","26","Bismarck East","701--75-1-76","bismarck@snapfitness.com","3111 N. 14th St.","","Bismarck","ND","58503","USA","snapfitness","Open","open","www.snapfitness.com/bismarckeast","","Bismarck East - 222","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_222.pdf"
"223","","37","Cedar Falls","319-277-1127","cedarfalls@snapfitness.com","401 Main Street","Suite 100","Cedar Falls","IA","50613","USA","snapfitness","Open","open","www.snapfitness.com/cedarfalls","","Cedar Falls - 223","0",""
"224","","169","Pequot Lakes","218-568-5999","pequotlakes@snapfitness.com","31108 Government Drive, #108","","Pequot Lakes","MN","56472","USA","snapfitness","Open","open","www.snapfitness.com/pequotlakes","","Pequot Lakes - 224","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_224.pdf"
"226","","143","Montpelier","804-883-0190","montpelier@snapfitness.com","16609 Mountain Rd.","","Montpelier","VA","23192","USA","snapfitness","Open","open","www.snapfitness.com/montpelier","","Montpelier - 226","0",""
"23","","27","Blaine","763-862-3324","blaine@snapfitness.com","10950 Club West Parkway","Suite 200 & 210","Blaine","MN","55449","USA","snapfitness","Open","open","www.snapfitness.com/blaine","","Blaine - 23","0",""
"230","","25","Billings","406--65-6-43","billings@snapfitness.com","1780 Shiloh Rd.","","Billings","MT","59106","USA","snapfitness","Open","open","www.snapfitness.com/billings","","Billings - 230","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_230.pdf"
"231","","190","Saraland","251--67-9-55","saraland@snapfitness.com","25 Shelton Beach Rd.","","Saraland","AL","36571","USA","snapfitness","Open","open","www.snapfitness.com/saraland","","Saraland - 231","0",""
"232","","160","Okemos","517--88-9-15","okemos@snapfitness.com","3552 Meridian Crossing Dr.","Suite 595","Okemos","MI","48864","USA","snapfitness","Open","open","www.snapfitness.com/okemos","","Okemos - 232","0",""
"234","","220","Washington","636--43-2-00","washington@snapfitness.com","848 Washington Corners","","Washington","MO","63090","USA","snapfitness","Open","open","www.snapfitness.com/washingtonmo","","Washington - 234","0",""
"235","","178","Red Wing","651-388-7774","redwing@snapfitness.com","3257 South Service Drive","","Red Wing","MN","55066","USA","snapfitness","Open","open","www.snapfitness.com/redwing","","Red Wing - 235","0",""
"236","","57","Denver","303--75-7-76","denver1@snapfitness.com","1441 South Holly St.","","Denver","CO","80222","USA","snapfitness","Open","open","www.snapfitness.com/denver1","","Denver - 236","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_236.pdf"
"237","","155","Raleigh","919-847-1441","nraleigh@snapfitness.com","1141 Falls River Ave","Suite 104","Raleigh","NC","27614","USA","snapfitness","Open","open","www.snapfitness.com/nraleigh","","Raleigh - 237","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_237.pdf"
"239","","148","Muskego","414--42-2-01","muskego@snapfitness.com","S74W16853 Janesville Rd.","","Muskego","WI","53150","USA","snapfitness","Open","open","www.snapfitness.com/muskego","","Muskego - 239","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_239.pdf"
"24","","203","St. Croix Falls","715-483-9765","stcroixfalls@snapfitness.com","340 East McKenney Street","","St. Croix Falls","WI","54024","USA","snapfitness","Open","open","www.snapfitness.com/stcroixfalls","","St. Croix Falls - 24","0",""
"244","","74","Ferndale","248--39-9-40","ferndale@snapfitness.com","23000 Woodward Ave.","","Ferndale","MI","48220","USA","snapfitness","Open","open","www.snapfitness.com/ferndale","","Ferndale - 244","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_244.pdf"
"246","","187","Roseville","651-636-0405","roseville@snapfitness.com","2216 County Rd. D West","","Roseville","MN","55112","USA","snapfitness","Open","open","www.snapfitness.com/roseville","","Roseville - 246","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_246.pdf"
"248","","226","West St. Paul","651--23-8-88","weststpaul@snapfitness.com","1016 Smith Avenue South","","West St. Paul","MN","55118","USA","snapfitness","Open","open","www.snapfitness.com/weststpaul","","West St. Paul - 248","0",""
"249","","31","Brookings","605-692-7627","brookings@snapfitness.com","1009 Main Ave. South","","Brookings","SD","57006","USA","snapfitness","Open","open","www.snapfitness.com/brookings","","Brookings - 249","0",""
"25","","162","Osceola","715-294-4554","osceola@snapfitness.com","2388 State Road 35","PO Box 871","Osceola","WI","54020","USA","snapfitness","Open","open","www.snapfitness.com/osceola","","Osceola - 25","0",""
"250","","41","Chaska","952--44-8-65","chaska@snapfitness.com","700 North Chestnut St.","","Chaska","MN","55318","USA","snapfitness","Open","open","www.snapfitness.com/chaska","","Chaska - 250","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_250.pdf"
"252","","333","La Vergne","615--79-3-96","lavergne@snapfitness.com","1925 Madison Square Blvd.","","La Vergne","TN","37086","USA","snapfitness","Open","open","www.snapfitness.com/lavergne","","La Vergne - 252","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_252.pdf"
"253","","359","Cambridge","763--55-2-76","cambridge@snapfitness.com","1820 Second Avenue","","Cambridge","MN","55008","USA","snapfitness","Open","open","www.snapfitness.com/cambridge","","Cambridge - 253","0",""
"255","","462","Bay View","414--48-6-SN","bayview@snapfitness.com","2450 S. Kinnickinnic Ave.","","Bay View","WI","53207","USA","snapfitness","Open","open","www.snapfitness.com/bayview","","Bay View - 255","0",""
"256","","355","Albany","541--92-8-67","albany@snapfitness.com","640 Hickory Street","","Albany","OR","97321","USA","snapfitness","Open","open","www.snapfitness.com/albany","","Albany - 256","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_256.pdf"
"258","","408","East Troy","262--64-2-16","easttroy@snapfitness.com","2541 E. Main Street","","East Troy","WI","53120","USA","snapfitness","Open","open","www.snapfitness.com/easttroy","","East Troy - 258","0",""
"259","","369","Minot","701--85-2-24","minot@snapfitness.com","401  40th Ave. SW","Suite 129","Minot","ND","58701","USA","snapfitness","Open","open","www.snapfitness.com/minot","","Minot - 259","0",""
"26","","197","Somerset","715-247-5657","somerset@snapfitness.com","403 Laser Drive","","Somerset","WI","54025","USA","snapfitness","Open","open","www.snapfitness.com/somerset","","Somerset - 26","0",""
"260","","410","Benson","320-843-2127","benson@snapfitness.com","110 14th Street South","","Benson","MN","56215","USA","snapfitness","Open","open","www.snapfitness.com/benson","","Benson - 260","0",""
"262","","450","Montrose","970-252-1771","montroseco@snapfitness.com","1541 Oxbow Dr.","Suite 1450","Montrose","CO","81401","USA","snapfitness","Open","open","www.snapfitness.com/montroseco","","Montrose - 262","1",""
"264","","488","DeSoto","636-337-7350","desoto@snapfitness.com","12878 Hwy 21","","DeSoto","MO","63020","USA","snapfitness","Open","open","www.snapfitness.com/desoto","","DeSoto - 264","0",""
"266","","264","Slinger","262-644-7627","slinger@snapfitness.com","1026 E. Commerce Blvd.","","Slinger","WI","53086","USA","snapfitness","Open","open","www.snapfitness.com/slinger","","Slinger - 266","0",""
"269","","238","Sauk Centre","320-351-7627","saukcentre@snapfitness.com","1190 Main Street South","","Sauk Centre","MN","56378","USA","snapfitness","Open","open","www.snapfitness.com/saukcentre","","Sauk Centre - 269","0",""
"27","","106","Kenner","504-305-6220","kenner@snapfitness.com","910 W. Esplanade Ave.","Suite D","Kenner","LA","70065","USA","snapfitness","Open","open","www.snapfitness.com/kenner","","Kenner - 27","0",""
"270","","239","Newark","302--26-1-81","newark@snapfitness.com","1252 Capitol Trail","","Newark","DE","19711","USA","snapfitness","Open","open","www.snapfitness.com/newark","","Newark - 270","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_270.pdf"
"272","","279","Bloomington","952-681-7296","bloomington2@snapfitness.com","8009 34th Ave South","Suite 5","Bloomington","MN","55425","USA","snapfitness","Open","open","www.snapfitness.com/bloomington2","","Bloomington - 272","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_272.pdf"
